timestamp_utc,model,case_id,domain,expected_status,model_status,model_correct,guard_action,final_action,published_status,published_correct,parse_error,symbolic_status,violations,ollama_ok,ollama_wall_ms,ollama_total_ms,ollama_load_ms,ollama_prompt_eval_ms,ollama_eval_ms,prompt_tokens,generated_tokens,prolog_ok,prolog_wall_ms,pipeline_wall_ms
2026-07-01T19:05:44.837542+00:00,qwen2.5:7b,P01,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,5532.817,5530.935,2263.255,87.5,1384.044,161,94,True,69.193,5603.951
2026-07-01T19:05:48.000186+00:00,qwen2.5:7b,P02,person,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['death_before_birth(anna_nowak)'],True,3084.291,3076.515,69.126,29.446,1409.954,157,90,True,74.838,3161.046
2026-07-01T19:05:50.461026+00:00,qwen2.5:7b,P03,person,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['birth_in_future(piotr_zielinski)'],True,2386.193,2374.291,84.958,32.769,880.119,142,66,True,71.269,2459.513
2026-07-01T19:05:54.020464+00:00,qwen2.5:7b,P04,person,invalid,valid,False,correct,corrected,invalid,True,,invalid,['implausible_lifespan(maria_wisniewska)'],True,3485.491,3483.659,76.103,38.777,1497.63,167,100,True,68.272,3557.765
2026-07-01T19:05:57.359105+00:00,qwen2.5:7b,P05,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3265.866,3263.989,80.047,28.23,1380.822,161,94,True,69.203,3337.134
2026-07-01T19:05:59.760542+00:00,qwen2.5:7b,P06,person,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,2325.634,2323.252,74.572,24.724,996.242,142,67,True,70.253,2400.199
2026-07-01T19:06:03.625712+00:00,qwen2.5:7b,F01,family,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3790.355,3788.311,77.985,35.331,1553.67,166,110,True,70.158,3862.802
2026-07-01T19:06:06.616695+00:00,qwen2.5:7b,F02,family,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['self_parent(celina)', 'parent_too_young(celina,celina)']",True,2919.198,2916.67,74.204,37.097,1297.124,151,85,True,68.806,2989.69
2026-07-01T19:06:10.472080+00:00,qwen2.5:7b,F03,family,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['parent_too_young(daria,eryk)']",True,3779.629,3777.588,74.617,36.156,1757.33,166,110,True,69.912,3854.168
2026-07-01T19:06:14.409903+00:00,qwen2.5:7b,F04,family,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['parent_born_after_child(filip,grazyna)', 'parent_too_young(filip,grazyna)']",True,3861.356,3859.175,73.965,40.467,1755.431,168,112,True,69.26,3936.245
2026-07-01T19:06:18.225597+00:00,qwen2.5:7b,F05,family,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3743.73,3741.847,74.019,41.845,1600.753,164,108,True,67.991,3813.568
2026-07-01T19:06:22.089890+00:00,qwen2.5:7b,F06,family,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3782.065,3776.177,75.948,36.986,1701.888,166,110,True,78.796,3862.989
2026-07-01T19:06:25.680839+00:00,qwen2.5:7b,D01,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3517.64,3515.726,73.76,36.278,1607.201,167,101,True,69.309,3589.586
2026-07-01T19:06:29.366899+00:00,qwen2.5:7b,D02,document,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['modified_before_created(doc_2)'],True,3615.404,3613.597,81.207,38.33,1540.474,167,103,True,67.341,3684.758
2026-07-01T19:06:32.993461+00:00,qwen2.5:7b,D03,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3550.792,3548.724,74.531,35.356,1554.684,169,102,True,72.438,3625.312
2026-07-01T19:06:36.698686+00:00,qwen2.5:7b,D04,document,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['validity_interval_reversed(doc_4)'],True,3629.075,3628.895,78.674,35.537,1599.421,169,105,True,72.481,3703.505
2026-07-01T19:06:43.147893+00:00,qwen2.5:7b,D05,document,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,6358.963,6356.238,81.583,58.618,2654.641,213,180,True,77.251,6447.714
2026-07-01T19:06:49.064508+00:00,qwen2.5:7b,D06,document,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['modified_before_created(doc_6)', 'validity_interval_reversed(doc_6)']",True,5840.528,5838.383,72.713,52.002,2481.989,213,167,True,72.348,5914.807
2026-07-01T19:06:55.043100+00:00,qwen2.5:7b,A01,archive,valid,valid,True,accept,accepted,valid,True,,valid,[],True,5904.157,5893.048,77.271,47.391,2322.01,205,170,True,70.37,5976.966
2026-07-01T19:07:01.174259+00:00,qwen2.5:7b,A02,archive,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['archival_interval_reversed(unit_2)'],True,6053.576,6050.986,74.35,53.009,2515.436,203,173,True,73.615,6129.253
2026-07-01T19:07:07.110622+00:00,qwen2.5:7b,A03,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['invalid_access_level(unit_3,internal)']",True,5859.313,5856.833,74.886,49.758,2193.485,204,169,True,69.688,5934.342
2026-07-01T19:07:11.795443+00:00,qwen2.5:7b,A04,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,['missing_reference(unit_4)'],True,4609.593,4594.628,78.195,37.19,1674.101,182,137,True,67.815,4683.023
2026-07-01T19:07:16.806527+00:00,qwen2.5:7b,A05,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,['missing_title(unit_5)'],True,4934.37,4932.394,95.956,46.197,1951.401,189,144,True,69.533,5009.555
2026-07-01T19:07:22.735934+00:00,qwen2.5:7b,A06,archive,valid,valid,True,accept,accepted,valid,True,,valid,[],True,5858.142,5855.762,80.775,50.427,2307.423,203,168,True,68.034,5927.998
2026-07-01T19:07:25.775938+00:00,qwen2.5:7b,R01,administration,valid,valid,True,accept,accepted,valid,True,,valid,[],True,2962.322,2939.963,87.924,31.414,1176.109,149,85,True,74.602,3038.603
2026-07-01T19:07:28.807427+00:00,qwen2.5:7b,R02,administration,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['below_minimum_age(pawel,permit_b)']",True,2959.688,2957.841,78.263,37.627,1212.572,151,86,True,68.253,3030.053
2026-07-01T19:07:33.317096+00:00,qwen2.5:7b,R03,administration,valid,valid,True,accept,accepted,valid,True,,valid,[],True,4436.171,4419.139,75.394,41.178,1677.584,181,126,True,69.124,4507.658
2026-07-01T19:07:37.690271+00:00,qwen2.5:7b,R04,administration,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['submitted_after_deadline(application_4)'],True,4298.307,4290.82,72.522,43.536,1713.503,181,123,True,71.299,4371.732
2026-07-01T19:07:42.266498+00:00,qwen2.5:7b,R05,administration,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['negative_fee(application_5)'],True,4502.89,4500.82,73.212,43.298,1744.383,179,128,True,68.648,4573.537
2026-07-01T19:07:48.326233+00:00,qwen2.5:7b,R06,administration,valid,valid,True,accept,accepted,valid,True,,valid,[],True,5986.054,5977.985,76.4,46.348,2295.894,207,172,True,70.418,6058.33
2026-07-01T19:07:52.061968+00:00,llama3.2:latest,P01,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3657.482,3656.32,1798.217,39.208,552.343,152,76,True,74.585,3734.166
2026-07-01T19:07:54.002960+00:00,llama3.2:latest,P02,person,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['death_before_birth(anna_nowak)'],True,1867.771,1866.393,95.307,21.948,575.519,148,74,True,69.376,1939.248
2026-07-01T19:07:55.579932+00:00,llama3.2:latest,P03,person,invalid,valid,False,correct,corrected,invalid,True,,invalid,['birth_in_future(piotr_zielinski)'],True,1496.197,1495.043,88.472,20.038,445.956,135,59,True,73.963,1575.529
2026-07-01T19:07:57.535731+00:00,llama3.2:latest,P04,person,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['implausible_lifespan(maria_wisniewska)'],True,1880.569,1879.469,92.815,15.831,688.923,156,69,True,71.122,1954.21
2026-07-01T19:07:59.752374+00:00,llama3.2:latest,P05,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,2141.846,2140.542,111.76,24.128,904.886,152,76,True,71.097,2215.196
2026-07-01T19:08:01.439040+00:00,llama3.2:latest,P06,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,1610.508,1609.31,87.749,22.454,583.892,135,59,True,73.034,1685.229
2026-07-01T19:08:03.934351+00:00,llama3.2:latest,F01,family,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,2415.112,2413.082,94.109,36.309,843.488,157,89,True,71.28,2492.138
2026-07-01T19:08:05.860326+00:00,llama3.2:latest,F02,family,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['self_parent(celina)', 'parent_too_young(celina,celina)']",True,1844.973,1843.69,90.127,23.276,630.769,144,68,True,73.069,1923.723
2026-07-01T19:08:08.255887+00:00,llama3.2:latest,F03,family,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['parent_too_young(daria,eryk)']",True,2321.888,2320.141,113.41,27.62,813.68,157,86,True,68.399,2392.176
2026-07-01T19:08:10.601167+00:00,llama3.2:latest,F04,family,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['parent_born_after_child(filip,grazyna)', 'parent_too_young(filip,grazyna)']",True,2272.457,2271.233,96.365,27.037,780.475,159,85,True,67.835,2342.414
2026-07-01T19:08:12.884959+00:00,llama3.2:latest,F05,family,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,2199.982,2195.409,91.866,25.023,763.969,155,84,True,74.874,2282.281
2026-07-01T19:08:15.284376+00:00,llama3.2:latest,F06,family,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,2323.549,2322.26,90.647,28.125,955.924,157,86,True,69.073,2397.509
2026-07-01T19:08:17.306746+00:00,llama3.2:latest,D01,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,1943.869,1942.735,92.53,26.932,640.176,154,71,True,74.373,2020.645
2026-07-01T19:08:19.358866+00:00,llama3.2:latest,D02,document,invalid,valid,False,correct,corrected,invalid,True,,invalid,['modified_before_created(doc_2)'],True,1975.057,1950.163,90.166,26.999,794.641,154,71,True,70.587,2050.312
2026-07-01T19:08:21.452921+00:00,llama3.2:latest,D03,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,2022.066,2020.629,90.783,21.3,776.048,156,73,True,68.266,2092.432
2026-07-01T19:08:23.743872+00:00,llama3.2:latest,D04,document,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['validity_interval_reversed(doc_4)'],True,2216.864,2215.474,92.048,25.424,831.328,156,79,True,70.072,2289.45
2026-07-01T19:08:27.078074+00:00,llama3.2:latest,D05,document,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3255.223,3253.991,90.723,35.911,1282.634,192,119,True,75.209,3332.66
2026-07-01T19:08:30.407073+00:00,llama3.2:latest,D06,document,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['modified_before_created(doc_6)', 'validity_interval_reversed(doc_6)']",True,3248.852,3247.299,93.165,31.566,1263.938,192,119,True,71.724,3327.219
2026-07-01T19:08:33.858224+00:00,llama3.2:latest,A01,archive,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3376.809,3362.119,91.002,40.973,1179.935,193,127,True,70.325,3449.277
2026-07-01T19:08:37.309020+00:00,llama3.2:latest,A02,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,['archival_interval_reversed(unit_2)'],True,3369.867,3368.739,91.356,36.829,1245.753,191,125,True,72.894,3449.211
2026-07-01T19:08:40.771231+00:00,llama3.2:latest,A03,archive,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['invalid_access_level(unit_3,internal)']",True,3390.59,3389.314,91.766,35.783,1290.335,192,126,True,67.793,3460.476
