timestamp_utc,model,case_id,domain,expected_status,model_status,model_correct,guard_action,final_action,published_status,published_correct,parse_error,symbolic_status,violations,ollama_ok,ollama_wall_ms,ollama_total_ms,ollama_load_ms,ollama_prompt_eval_ms,ollama_eval_ms,prompt_tokens,generated_tokens,prolog_ok,prolog_wall_ms,pipeline_wall_ms
2026-06-15T19:06:33.548020+00:00,qwen2.5:7b,P01,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3350.473,3348.747,75.264,128.898,1362.368,161,94,True,71.635,3423.925
2026-06-15T19:06:36.734217+00:00,qwen2.5:7b,P02,person,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['death_before_birth(anna_nowak)'],True,3105.449,3103.511,70.072,37.706,1265.312,157,90,True,75.114,3183.21
2026-06-15T19:06:39.112966+00:00,qwen2.5:7b,P03,person,invalid,invalid,True,accept,accepted,invalid,True,,invalid,['birth_in_future(piotr_zielinski)'],True,2303.35,2283.633,72.472,25.528,914.34,142,66,True,72.105,2377.513
2026-06-15T19:06:42.725057+00:00,qwen2.5:7b,P04,person,invalid,valid,False,correct,corrected,invalid,True,,invalid,['implausible_lifespan(maria_wisniewska)'],True,3528.713,3512.842,69.547,39.576,1504.105,167,102,True,75.527,3610.679
2026-06-15T19:06:46.069121+00:00,qwen2.5:7b,P05,person,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3270.082,3267.42,73.024,35.625,1435.463,161,94,True,69.773,3342.268
2026-06-15T19:06:48.484007+00:00,qwen2.5:7b,P06,person,valid,invalid,False,correct,corrected,valid,True,,valid,[],True,2338.887,2329.215,74.01,29.471,981.06,142,67,True,72.524,2413.617
2026-06-15T19:06:52.332547+00:00,qwen2.5:7b,F01,family,valid,valid,True,accept,accepted,valid,True,,valid,[],True,3774.602,3772.438,73.223,26.706,1591.208,166,110,True,69.278,3846.745
2026-06-15T19:06:55.368573+00:00,qwen2.5:7b,F02,family,invalid,invalid,True,accept,accepted,invalid,True,,invalid,"['self_parent(celina)', 'parent_too_young(celina,celina)']",True,2960.185,2938.835,71.795,27.319,1255.556,151,85,True,71.931,3034.734
2026-06-15T19:06:59.235079+00:00,qwen2.5:7b,F03,family,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['parent_too_young(daria,eryk)']",True,3790.997,3780.907,72.837,39.208,1638.673,166,110,True,69.584,3865.132
2026-06-15T19:07:03.104594+00:00,qwen2.5:7b,F04,family,invalid,valid,False,correct,corrected,invalid,True,,invalid,"['parent_born_after_child(filip,grazyna)', 'parent_too_young(filip,grazyna)']",True,3794.693,3792.254,73.35,39.577,1415.046,168,112,True,68.91,3867.942
